Book-Title,Book-Author,Publisher
Classical Mythology,Mark P. O. Morford,Oxford University Press
Clara Callan,Richard Bruce Wright,HarperFlamingo Canada
Decision in Normandy,Carlo D'Este,HarperPerennial
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,Farrar Straus Giroux
The Mummies of Urumchi,E. J. W. Barber,"W. W. Norton &amp, Company"
The Kitchen God's Wife,Amy Tan,Putnam Pub Group
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Publishing Group
PLEADING GUILTY,Scott Turow,Audioworks
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Random House
Where You'll Find Me: And Other Stories,Ann Beattie,Scribner
Nights Below Station Street,David Adams Richards,Emblem Editions
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,Citadel Press
The Middle Stories,Sheila Heti,House of Anansi Press
Jane Doe,R. J. Kaiser,Mira Books
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Health Communications
The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,Brilliance Audio - Trade
More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,Kensington Publishing Corp.
Goodbye to the Buttermilk Sky,Julia Oliver,River City Pub
The Testament,John Grisham,Dell
Beloved (Plume Contemporary Fiction),Toni Morrison,Plume
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,Three Rivers Press
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,"Ryland Peters &amp, Small Ltd"
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,Cypress House
"Mary-Kate &amp, Ashley Switching Goals (Mary-Kate and Ashley Starring in)","Mary-Kate &amp, Ashley Olsen",HarperEntertainment
Tell Me This Isn't Happening,Robynn Clairday,Scholastic
Flood : Mississippi 1927,Kathleen Duey,Aladdin
Wild Animus,Rich Shapero,Too Far
Airframe,Michael Crichton,Ballantine Books
Timeline,MICHAEL CRICHTON,Ballantine Books
OUT OF THE SILENT PLANET,C.S. Lewis,Scribner
Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks
Chocolate Jesus,Stephan Jaramillo,Berkley Publishing Group
Wie Barney es sieht.,Mordecai Richler,LÃ?Â¼bbe
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Goldmann
Sturmzeit. Roman.,Charlotte Link,Goldmann
Tage der Unschuld.,Richard North Patterson,Goldmann
Lying Awake,Mark Salzman,Alfred A. Knopf
To Kill a Mockingbird,Harper Lee,"Little Brown &amp, Company"
Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books
Pigs in Heaven,Barbara Kingsolver,Harpercollins
Miss Zukas and the Raven's Dance,Jo Dereske,Avon
Pride and Prejudice,Jane Austen,Bantam
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,Fireside
Downtown,Anne Rivers Siddons,HarperTorch
Icebound,Dean R. Koontz,Bantam Books
I'll Be Seeing You,Mary Higgins Clark,Pocket
From the Corner of His Eye,Dean Koontz,Bantam Books
Isle of Dogs,Patricia Cornwell,Berkley Publishing Group
Purity in Death,J.D. Robb,Berkley Publishing Group
This Year It Will Be Different: And Other Stories,Maeve Binchy,Dell
Proxies,Laura J. Mixon,Tor Books
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers
The Street Lawyer,JOHN GRISHAM,Dell
"Love, Medicine and Miracles",M.D. Bernie S. Siegel,HarperCollins Publishers
All the King's Men,Robert Penn Warren,Harvest Books
Pacific Northwest,Hans Johannes Hoefer,Chambers Harrap Publishers Ltd
A Soldier of the Great War,Mark Helprin,Avon Books
Getting Well Again,O. Carol Simonton Md,Bantam
Northwest Wines and Wineries,Chuck Hill,Speed Graphics
An Atmosphere of Eternity: Stories of India,David Iglehart,Sunflower Press
LONESOME DOVE,Larry McMurtry,Pocket
Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,Laurel Leaf
Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,Laurel Leaf
Lieux dits,Michel Tournier,Gallimard
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,Ballantine Books
The yawning heights,Aleksandr Zinoviev,Random House
Breathing Lessons,Anne Tyler,Berkley Publishing Group
The Joy Luck Club,Amy Tan,Prentice Hall (K-12)
Heart of Darkness (Wordsworth Collection),Joseph Conrad,NTC/Contemporary Publishing Company
The Angel Is Near,Deepak Chopra,St. Martin's Press
Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,NTC/Contemporary Publishing Company
The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,1stBooks Library
The Accidental Virgin,Valerie Frankel,Avon Trade
The Tao of Pooh,Benjamin Hoff,Penguin Books
Seabiscuit,LAURA HILLENBRAND,Ballantine Books
The Prince,Niccolo Machiavelli,Signet Book
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Thomas Nelson
Starship Troopers,Robert A. Heinlein,Ace Books
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,Laurel Leaf
Black Beauty (Illustrated Classics),Anna Sewell,Landoll
Anil's Ghost,MICHAEL ONDAATJE,Knopf
Prescription for Terror,Sandra Levy Ceren,Andrew Scott Publishers
Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,Atlantic Monthly Press
Turning Thirty,Mike Gayle,"Hodder &amp, Stoughton General Division"
Decipher,Stel Pavlou,"Simon &amp, Schuster (Trade Division)"
"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,Perennial
Standing Firm: A Vice-Presidential Memoir,Dan Quayle,Harpercollins
Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,McGraw-Hill
The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,Random House
Daybreakers Louis Lamour Collection,Louis Lamour,Bantam Doubleday Dell
The Catcher in the Rye,J.D. Salinger,"Little, Brown"
El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,Minotauro
El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,Minotauro
"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,Distribooks
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House
